LATITUDE;LONGITUDE;CTDPRS;CTDTPOT;CTDSAL;EDW;ENACW12;WNACW7;SPMW;SACWT12;SACWE12;WW;AAIW5;AAIW3;MW;LSW;ISOW;DSOW;CDW;WSDW
48,709;-44,217;651,9;2,9184;34,801;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48,709;-44,217;702,6;3,051;34,823;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48,709;-44,217;1003,8;3,083;34,852;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48,787;-44,124;500;2,9648;34,806;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48,787;-44,124;1011,2;3,0418;34,852;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48,773;-44,297;1002,1;3,0335;34,853;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48,636;-44,276;502;3,0304;34,815;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48,636;-44,276;1003,7;3,0443;34,852;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
53,95;-46,43;801,2;2,9842;34,833;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
53,95;-46,43;902,3;3,0173;34,843;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
53,95;-46,43;1052,7;2,9741;34,841;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
53,95;-46,43;1252,9;2,9127;34,839;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
53,95;-46,43;1452,9;2,9102;34,842;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,2;-47,134;500,9;2,8611;34,827;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,2;-47,134;599,9;2,8862;34,832;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,2;-47,134;701,6;2,8055;34,824;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,2;-47,134;826,7;2,7905;34,823;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,2;-47,134;951,8;2,7853;34,824;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,2;-47,134;1151,6;2,7761;34,823;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,2;-47,134;1352,6;2,8008;34,829;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,31;-42,639;700,8;3,0919;34,86;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,31;-42,639;910,8;3,0038;34,85;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,31;-42,639;1051,9;2,9632;34,847;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,31;-42,639;1202,8;2,9415;34,847;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,31;-42,639;1353,2;2,9402;34,849;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,501;-42,685;651,6;3,0387;34,853;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,501;-42,685;851;2,9864;34,847;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,501;-42,685;1051,4;2,9464;34,843;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,501;-42,685;1177,9;2,9118;34,84;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,501;-42,685;1303,7;2,9067;34,841;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,501;-42,685;1402,7;2,8867;34,842;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,664;-42,801;1101,6;3,0605;34,856;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,664;-42,801;1202,4;3,0158;34,85;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,664;-42,801;1302,1;2,983;34,848;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,664;-42,801;1402,5;2,9579;34,849;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,082;-42,498;600,4;2,9598;34,845;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,082;-42,498;802,2;2,8887;34,837;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58,082;-42,498;1002;2,8718;34,837;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
