,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
207040,275,27.0,46.528,-17.685,52.402,12.347999999999999,35.67,2
207042,275,27.0,46.528,-17.685,60.465,12.217,35.655,2
207044,275,27.0,46.528,-17.685,77.59899999999999,12.224,35.662,2
207047,275,27.0,46.528,-17.685,102.8,12.17,35.653,2
207066,275,29.0,46.361999999999995,-17.942999999999998,63.488,12.128,35.65,2
207067,275,29.0,46.361999999999995,-17.942999999999998,92.719,11.984000000000002,35.641,2
207093,275,30.0,46.442,-17.942,53.409,12.253,35.650999999999996,2
207095,275,30.0,46.442,-17.942,62.48,12.248,35.656,2
207098,275,30.0,46.442,-17.942,80.623,12.049000000000001,35.643,2
207127,275,31.0,46.347,-17.933,54.417,12.297,35.645,2
207128,275,31.0,46.347,-17.933,64.49600000000001,12.216,35.643,2
207129,275,31.0,46.347,-17.933,81.631,12.114,35.641999999999996,2
207130,275,31.0,46.347,-17.933,103.81,12.057,35.641,2
207164,275,32.0,46.343,-17.898,52.402,12.338,35.659,2
207165,275,32.0,46.343,-17.898,61.472,12.299000000000001,35.669000000000004,2
207166,275,32.0,46.343,-17.898,63.488,12.259,35.664,2
207167,275,32.0,46.343,-17.898,79.615,12.224,35.667,2
207168,275,32.0,46.343,-17.898,80.623,12.225,35.661,2
207170,275,32.0,46.343,-17.898,100.78,12.165,35.661,2
207171,275,32.0,46.343,-17.898,102.8,12.128,35.648,2
207172,275,32.0,46.343,-17.898,120.95,12.114,35.654,2
207173,275,32.0,46.343,-17.898,122.96,12.107000000000001,35.649,2
207175,275,32.0,46.343,-17.898,150.18,12.057,35.645,2
207200,275,33.0,46.236999999999995,-18.01,40.308,12.575,35.669000000000004,2
207203,275,33.0,46.236999999999995,-18.01,54.417,12.362,35.675,2
207205,275,33.0,46.236999999999995,-18.01,64.49600000000001,12.333,35.675,2
207206,275,33.0,46.236999999999995,-18.01,81.631,12.283,35.674,2
207207,275,33.0,46.236999999999995,-18.01,103.81,12.255999999999998,35.673,2
207208,275,33.0,46.236999999999995,-18.01,122.96,12.231,35.671,2
207209,275,33.0,46.236999999999995,-18.01,152.2,12.097000000000001,35.650999999999996,2
207232,275,34.0,46.325,-17.893,52.402,12.616,35.664,2
207235,275,34.0,46.325,-17.893,62.48,12.375,35.669000000000004,2
207236,275,34.0,46.325,-17.893,73.567,12.282,35.674,2
207237,275,34.0,46.325,-17.893,79.615,12.269,35.665,2
207238,275,34.0,46.325,-17.893,80.623,12.327,35.667,2
207239,275,34.0,46.325,-17.893,101.79,12.27,35.674,2
207240,275,34.0,46.325,-17.893,102.8,12.26,35.668,2
207241,275,34.0,46.325,-17.893,121.95,12.25,35.674,2
207242,275,34.0,46.325,-17.893,121.95,12.244000000000002,35.672,2
207243,275,34.0,46.325,-17.893,151.19,12.198,35.665,2
207244,275,34.0,46.325,-17.893,152.2,12.186,35.664,2
207269,275,35.0,46.32,-17.85,80.623,12.367,35.676,2
207270,275,35.0,46.32,-17.85,102.8,12.234000000000002,35.663000000000004,2
207271,275,35.0,46.32,-17.85,122.96,12.225999999999999,35.669000000000004,2
207272,275,35.0,46.32,-17.85,152.2,12.123,35.653,2
207296,275,36.0,46.321999999999996,-17.825,62.48,12.543,35.671,2
207298,275,36.0,46.321999999999996,-17.825,79.615,12.272,35.663000000000004,2
207299,275,36.0,46.321999999999996,-17.825,80.623,12.309000000000001,35.665,2
207300,275,36.0,46.321999999999996,-17.825,101.79,12.225,35.665,2
207301,275,36.0,46.321999999999996,-17.825,102.8,12.231,35.667,2
207302,275,36.0,46.321999999999996,-17.825,120.95,12.203,35.664,2
207303,275,36.0,46.321999999999996,-17.825,122.96,12.187999999999999,35.664,2
207304,275,36.0,46.321999999999996,-17.825,150.18,12.085999999999999,35.647,2
207305,275,36.0,46.321999999999996,-17.825,152.2,12.037,35.643,2
207326,275,37.0,46.355,-17.77,102.8,12.113,35.641999999999996,2
207327,275,37.0,46.355,-17.77,103.81,12.222999999999999,35.668,2
207328,275,37.0,46.355,-17.77,122.96,12.109000000000002,35.65,2
207359,275,38.0,46.355,-17.707,80.623,12.179,35.641999999999996,2
207361,275,38.0,46.355,-17.707,102.8,12.094000000000001,35.641,2
218841,322,38.0,46.49,-19.973,208.9,12.213,35.663000000000004,2
218866,322,39.0,45.98,-20.003,199.4,12.3,35.664,2
218891,322,40.0,45.485,-20.012,208.5,12.203,35.653,2
218918,322,41.0,44.99,-19.995,205.3,12.172,35.654,2
218941,322,42.0,44.493,-19.993,158.6,12.357000000000001,35.674,2
218942,322,42.0,44.493,-19.993,208.4,12.255,35.671,2
218965,322,43.0,43.997,-19.985,104.8,12.640999999999998,35.674,2
218966,322,43.0,43.997,-19.985,153.2,12.222000000000001,35.644,2
219015,322,45.0,43.001999999999995,-20.023,207.7,12.209000000000001,35.66,2
219067,322,47.0,42.013000000000005,-20.008,202.4,12.267000000000001,35.66,2
219091,322,48.0,41.498000000000005,-20.022000000000002,104.2,12.565,35.678000000000004,2
219092,322,48.0,41.498000000000005,-20.022000000000002,153.3,12.249,35.664,2
219118,322,49.0,41.013000000000005,-19.993,298.7,12.267999999999999,35.665,2
219143,322,50.0,40.515,-20.03,307.5,12.454,35.68,2
219193,322,52.0,39.518,-20.01,298.0,12.224,35.648,2
233030,338,58.0,39.978,-19.991,299.9,12.196,35.667,2
233101,338,61.0,42.985,-19.998,151.2,12.350999999999999,35.667,2
239040,342,37.0,47.001000000000005,-19.998,300.9,12.173,35.644,2
239041,342,37.0,47.001000000000005,-19.998,302.3,12.165999999999999,35.645,2
239082,342,38.0,46.498000000000005,-19.999000000000002,300.1,12.227,35.674,2
239131,342,40.0,45.501000000000005,-20.0,395.4,12.165999999999999,35.662,2
239162,342,41.0,44.998999999999995,-19.999000000000002,399.3,12.138,35.664,2
